object_id,class,split,object_path
0,airplane,train,airplane/airplane_000/mesh.obj
1,airplane,train,airplane/airplane_001/mesh.obj
2,airplane,train,airplane/airplane_002/mesh.obj
3,airplane,train,airplane/airplane_003/mesh.obj
4,airplane,train,airplane/airplane_004/mesh.obj
5,airplane,train,airplane/airplane_005/mesh.obj
6,airplane,train,airplane/airplane_006/mesh.obj
7,airplane,train,airplane/airplane_007/mesh.obj
8,airplane,train,airplane/airplane_008/mesh.obj
9,airplane,train,airplane/airplane_009/mesh.obj
10,airplane,train,airplane/airplane_010/mesh.obj
11,airplane,train,airplane/airplane_011/mesh.obj
12,airplane,train,airplane/airplane_012/mesh.obj
13,airplane,train,airplane/airplane_013/mesh.obj
14,airplane,train,airplane/airplane_014/mesh.obj
15,airplane,train,airplane/airplane_015/mesh.obj
16,airplane,train,airplane/airplane_016/mesh.obj
17,airplane,train,airplane/airplane_017/mesh.obj
18,airplane,train,airplane/airplane_018/mesh.obj
19,airplane,train,airplane/airplane_019/mesh.obj
20,airplane,train,airplane/airplane_020/mesh.obj
21,airplane,train,airplane/airplane_021/mesh.obj
22,airplane,train,airplane/airplane_022/mesh.obj
23,airplane,train,airplane/airplane_023/mesh.obj
24,airplane,train,airplane/airplane_024/mesh.obj
25,airplane,train,airplane/airplane_025/mesh.obj
26,airplane,train,airplane/airplane_026/mesh.obj
27,airplane,train,airplane/airplane_027/mesh.obj
28,airplane,test,airplane/airplane_028/mesh.obj
29,airplane,test,airplane/airplane_029/mesh.obj
30,airplane,test,airplane/airplane_030/mesh.obj
31,airplane,test,airplane/airplane_031/mesh.obj
32,airplane,test,airplane/airplane_032/mesh.obj
33,airplane,test,airplane/airplane_033/mesh.obj
34,airplane,test,airplane/airplane_034/mesh.obj
0,apple,train,apple/apple_000/mesh.obj
1,apple,train,apple/apple_001/mesh.obj
2,apple,train,apple/apple_002/mesh.obj
3,apple,train,apple/apple_003/mesh.obj
4,apple,train,apple/apple_005/mesh.obj
5,apple,train,apple/apple_006/mesh.obj
6,apple,train,apple/apple_007/mesh.obj
7,apple,train,apple/apple_008/mesh.obj
8,apple,train,apple/apple_011/mesh.obj
9,apple,train,apple/apple_012/mesh.obj
10,apple,train,apple/apple_013/mesh.obj
11,apple,train,apple/apple_014/mesh.obj
12,apple,train,apple/apple_015/mesh.obj
13,apple,train,apple/apple_016/mesh.obj
14,apple,train,apple/apple_018/mesh.obj
15,apple,train,apple/apple_019/mesh.obj
16,apple,train,apple/apple_020/mesh.obj
17,apple,train,apple/apple_022/mesh.obj
18,apple,train,apple/apple_023/mesh.obj
19,apple,train,apple/apple_024/mesh.obj
20,apple,train,apple/apple_025/mesh.obj
21,apple,train,apple/apple_026/mesh.obj
22,apple,train,apple/apple_027/mesh.obj
23,apple,train,apple/apple_028/mesh.obj
24,apple,train,apple/apple_029/mesh.obj
25,apple,train,apple/apple_031/mesh.obj
26,apple,train,apple/apple_032/mesh.obj
27,apple,train,apple/apple_033/mesh.obj
28,apple,train,apple/apple_034/mesh.obj
29,apple,train,apple/apple_035/mesh.obj
30,apple,train,apple/apple_036/mesh.obj
31,apple,train,apple/apple_038/mesh.obj
32,apple,train,apple/apple_040/mesh.obj
33,apple,train,apple/apple_041/mesh.obj
34,apple,train,apple/apple_042/mesh.obj
35,apple,train,apple/apple_043/mesh.obj
36,apple,test,apple/apple_044/mesh.obj
37,apple,test,apple/apple_045/mesh.obj
38,apple,test,apple/apple_046/mesh.obj
39,apple,test,apple/apple_047/mesh.obj
40,apple,test,apple/apple_048/mesh.obj
41,apple,test,apple/apple_049/mesh.obj
42,apple,test,apple/apple_050/mesh.obj
43,apple,test,apple/apple_051/mesh.obj
44,apple,test,apple/apple_052/mesh.obj
45,apple,test,apple/apple_053/mesh.obj
