object_id,class,split,object_path
0,airplane,train,airplane/airplane_000/pc10K.npz
1,airplane,train,airplane/airplane_001/pc10K.npz
2,airplane,train,airplane/airplane_002/pc10K.npz
3,airplane,train,airplane/airplane_003/pc10K.npz
4,airplane,train,airplane/airplane_004/pc10K.npz
5,airplane,train,airplane/airplane_005/pc10K.npz
6,airplane,train,airplane/airplane_006/pc10K.npz
7,airplane,train,airplane/airplane_007/pc10K.npz
8,airplane,train,airplane/airplane_008/pc10K.npz
9,airplane,train,airplane/airplane_009/pc10K.npz
10,airplane,train,airplane/airplane_010/pc10K.npz
11,airplane,train,airplane/airplane_011/pc10K.npz
12,airplane,train,airplane/airplane_012/pc10K.npz
13,airplane,train,airplane/airplane_013/pc10K.npz
14,airplane,train,airplane/airplane_014/pc10K.npz
15,airplane,train,airplane/airplane_015/pc10K.npz
16,airplane,train,airplane/airplane_016/pc10K.npz
17,airplane,train,airplane/airplane_017/pc10K.npz
18,airplane,train,airplane/airplane_018/pc10K.npz
19,airplane,train,airplane/airplane_019/pc10K.npz
20,airplane,train,airplane/airplane_020/pc10K.npz
21,airplane,train,airplane/airplane_021/pc10K.npz
22,airplane,train,airplane/airplane_022/pc10K.npz
23,airplane,train,airplane/airplane_023/pc10K.npz
24,airplane,train,airplane/airplane_024/pc10K.npz
25,airplane,train,airplane/airplane_025/pc10K.npz
26,airplane,train,airplane/airplane_026/pc10K.npz
27,airplane,train,airplane/airplane_027/pc10K.npz
28,airplane,test,airplane/airplane_028/pc10K.npz
29,airplane,test,airplane/airplane_029/pc10K.npz
30,airplane,test,airplane/airplane_030/pc10K.npz
31,airplane,test,airplane/airplane_031/pc10K.npz
32,airplane,test,airplane/airplane_032/pc10K.npz
33,airplane,test,airplane/airplane_033/pc10K.npz
34,airplane,test,airplane/airplane_034/pc10K.npz
0,apple,train,apple/apple_000/pc10K.npz
1,apple,train,apple/apple_001/pc10K.npz
2,apple,train,apple/apple_002/pc10K.npz
3,apple,train,apple/apple_003/pc10K.npz
4,apple,train,apple/apple_005/pc10K.npz
5,apple,train,apple/apple_006/pc10K.npz
6,apple,train,apple/apple_007/pc10K.npz
7,apple,train,apple/apple_008/pc10K.npz
8,apple,train,apple/apple_011/pc10K.npz
9,apple,train,apple/apple_012/pc10K.npz
10,apple,train,apple/apple_013/pc10K.npz
11,apple,train,apple/apple_014/pc10K.npz
12,apple,train,apple/apple_015/pc10K.npz
13,apple,train,apple/apple_016/pc10K.npz
14,apple,train,apple/apple_018/pc10K.npz
15,apple,train,apple/apple_019/pc10K.npz
16,apple,train,apple/apple_020/pc10K.npz
17,apple,train,apple/apple_022/pc10K.npz
18,apple,train,apple/apple_023/pc10K.npz
19,apple,train,apple/apple_024/pc10K.npz
20,apple,train,apple/apple_025/pc10K.npz
21,apple,train,apple/apple_026/pc10K.npz
22,apple,train,apple/apple_027/pc10K.npz
23,apple,train,apple/apple_028/pc10K.npz
24,apple,train,apple/apple_029/pc10K.npz
25,apple,train,apple/apple_031/pc10K.npz
26,apple,train,apple/apple_032/pc10K.npz
27,apple,train,apple/apple_033/pc10K.npz
28,apple,train,apple/apple_034/pc10K.npz
29,apple,train,apple/apple_035/pc10K.npz
30,apple,train,apple/apple_036/pc10K.npz
31,apple,train,apple/apple_038/pc10K.npz
32,apple,train,apple/apple_040/pc10K.npz
33,apple,train,apple/apple_041/pc10K.npz
34,apple,train,apple/apple_042/pc10K.npz
35,apple,train,apple/apple_043/pc10K.npz
36,apple,test,apple/apple_044/pc10K.npz
37,apple,test,apple/apple_045/pc10K.npz
38,apple,test,apple/apple_046/pc10K.npz
39,apple,test,apple/apple_047/pc10K.npz
40,apple,test,apple/apple_048/pc10K.npz
41,apple,test,apple/apple_049/pc10K.npz
42,apple,test,apple/apple_050/pc10K.npz
43,apple,test,apple/apple_051/pc10K.npz
44,apple,test,apple/apple_052/pc10K.npz
45,apple,test,apple/apple_053/pc10K.npz
0,ball,train,ball/ball_000/pc10K.npz
1,ball,train,ball/ball_001/pc10K.npz
2,ball,train,ball/ball_002/pc10K.npz
3,ball,train,ball/ball_003/pc10K.npz
4,ball,train,ball/ball_004/pc10K.npz
5,ball,train,ball/ball_005/pc10K.npz
6,ball,train,ball/ball_006/pc10K.npz
7,ball,train,ball/ball_007/pc10K.npz
8,ball,train,ball/ball_008/pc10K.npz
9,ball,train,ball/ball_009/pc10K.npz
10,ball,train,ball/ball_010/pc10K.npz
11,ball,train,ball/ball_011/pc10K.npz
12,ball,train,ball/ball_012/pc10K.npz
13,ball,train,ball/ball_013/pc10K.npz
14,ball,train,ball/ball_014/pc10K.npz
15,ball,train,ball/ball_015/pc10K.npz
16,ball,train,ball/ball_016/pc10K.npz
17,ball,train,ball/ball_017/pc10K.npz
18,ball,train,ball/ball_018/pc10K.npz
19,ball,train,ball/ball_019/pc10K.npz
20,ball,train,ball/ball_020/pc10K.npz
21,ball,train,ball/ball_021/pc10K.npz
22,ball,train,ball/ball_022/pc10K.npz
23,ball,train,ball/ball_023/pc10K.npz
24,ball,train,ball/ball_024/pc10K.npz
25,ball,train,ball/ball_025/pc10K.npz
26,ball,train,ball/ball_026/pc10K.npz
27,ball,train,ball/ball_027/pc10K.npz
28,ball,train,ball/ball_028/pc10K.npz
29,ball,train,ball/ball_029/pc10K.npz
30,ball,train,ball/ball_030/pc10K.npz
31,ball,train,ball/ball_031/pc10K.npz
32,ball,train,ball/ball_032/pc10K.npz
33,ball,train,ball/ball_033/pc10K.npz
34,ball,test,ball/ball_035/pc10K.npz
35,ball,test,ball/ball_036/pc10K.npz
36,ball,test,ball/ball_037/pc10K.npz
37,ball,test,ball/ball_038/pc10K.npz
38,ball,test,ball/ball_039/pc10K.npz
39,ball,test,ball/ball_040/pc10K.npz
40,ball,test,ball/ball_041/pc10K.npz
41,ball,test,ball/ball_042/pc10K.npz
42,ball,test,ball/ball_043/pc10K.npz
0,banana,train,banana/banana_000/pc10K.npz
1,banana,train,banana/banana_001/pc10K.npz
2,banana,train,banana/banana_002/pc10K.npz
3,banana,train,banana/banana_003/pc10K.npz
4,banana,train,banana/banana_004/pc10K.npz
5,banana,train,banana/banana_005/pc10K.npz
6,banana,train,banana/banana_008/pc10K.npz
7,banana,train,banana/banana_009/pc10K.npz
8,banana,train,banana/banana_010/pc10K.npz
9,banana,train,banana/banana_011/pc10K.npz
10,banana,train,banana/banana_012/pc10K.npz
11,banana,train,banana/banana_013/pc10K.npz
12,banana,train,banana/banana_014/pc10K.npz
13,banana,train,banana/banana_015/pc10K.npz
14,banana,train,banana/banana_017/pc10K.npz
15,banana,train,banana/banana_019/pc10K.npz
16,banana,train,banana/banana_020/pc10K.npz
17,banana,train,banana/banana_021/pc10K.npz
18,banana,train,banana/banana_022/pc10K.npz
19,banana,train,banana/banana_023/pc10K.npz
